Major,Ethnicity,Full-Time Male, Full-Time Female, Full-Time Total, Part-Time Male, Part-Time Female, Part-Time Total, Grand Total
1. Aerospace Engineering Sciences (B.S.),,
,1. American Indian,0,0,0,0,0,0,0
,2. Asian,7,2,9,0,0,0,9
,3. Black,1,2,3,0,0,0,3
,4. Hispanic,14,9,23,0,0,0,23
,5. Pacific Islander,0,1,1,0,0,0,1
,6. White,44,45,89,0,0,0,89
,7. Two or More,10,4,14,0,0,0,14
,8. Nonresident Alien,12,7,19,0,1,1,20
,9. Unknown,2,0,2,1,0,1,3
,Total,90,70,160,1,1,2,162

Major,Ethnicity,Full-Time Male, Full-Time Female, Full-Time Total, Part-Time Male, Part-Time Female, Part-Time Total, Grand Total
2. Chemical and Biological Engineering (B.S.),,
,1. American Indian,0,0,0,0,0,0,0
,2. Asian,0,1,1,0,0,0,1
,3. Black,0,0,0,0,0,0,0
,4. Hispanic,3,1,4,0,0,0,4
,5. Pacific Islander,0,0,0,0,0,0,0
,6. White,3,7,10,0,0,0,10
,7. Two or More,0,1,1,0,0,0,1
,8. Nonresident Alien,0,1,1,0,0,0,1
,9. Unknown,0,0,0,0,0,0,0
,Total,6,11,17,0,0,0,17

Major,Ethnicity,Full-Time Male, Full-Time Female, Full-Time Total, Part-Time Male, Part-Time Female, Part-Time Total, Grand Total
3. Chemical Engineering (B.S.),,
,1. American Indian,0,0,0,0,0,0,0
,2. Asian,2,0,2,0,0,0,2
,3. Black,1,1,2,0,0,0,2
,4. Hispanic,0,0,0,0,0,0,0
,5. Pacific Islander,0,0,0,0,0,0,0
,6. White,5,8,13,0,0,0,13
,7. Two or More,0,3,3,0,0,0,3
,8. Nonresident Alien,1,2,3,0,0,0,3
,9. Unknown,0,0,0,0,0,0,0
,Total,9,14,23,0,0,0,23

Major,Ethnicity,Full-Time Male, Full-Time Female, Full-Time Total, Part-Time Male, Part-Time Female, Part-Time Total, Grand Total
4. Applied Computer Science Post Bachelors (B.S.),,
,1. American Indian,0,0,0,0,0,0,0
,2. Asian,0,0,0,0,0,0,0
,3. Black,0,0,0,0,0,0,0
,4. Hispanic,0,0,0,0,0,0,0
,5. Pacific Islander,0,0,0,0,0,0,0
,6. White,0,0,0,0,0,0,0
,7. Two or More,0,0,0,0,0,0,0
,8. Nonresident Alien,0,0,0,0,0,0,0
,9. Unknown,0,0,0,0,0,0,0
,Total,0,0,0,0,0,0,0

Major,Ethnicity,Full-Time Male, Full-Time Female, Full-Time Total, Part-Time Male, Part-Time Female, Part-Time Total, Grand Total
5. Computer Science (B.S.),,
,1. American Indian,0,0,0,0,0,0,0
,2. Asian,13,15,28,0,0,0,28
,3. Black,7,1,8,0,0,0,8
,4. Hispanic,9,4,13,0,0,0,13
,5. Pacific Islander,0,0,0,0,0,0,0
,6. White,36,28,64,0,0,0,64
,7. Two or More,4,3,7,0,0,0,7
,8. Nonresident Alien,4,1,5,0,0,0,5
,9. Unknown,1,1,2,0,0,0,2
,Total,74,53,127,0,0,0,127

Major,Ethnicity,Full-Time Male, Full-Time Female, Full-Time Total, Part-Time Male, Part-Time Female, Part-Time Total, Grand Total
6. Mechanical Engineering (B.S.),,
,1. American Indian,0,1,1,0,0,0,1
,2. Asian,7,2,9,0,0,0,9
,3. Black,2,1,3,0,0,0,3
,4. Hispanic,18,3,21,1,1,2,23
,5. Pacific Islander,0,0,0,0,0,0,0
,6. White,61,23,84,0,0,0,84
,7. Two or More,2,2,4,0,0,0,4
,8. Nonresident Alien,5,2,7,0,0,0,7
,9. Unknown,0,1,1,0,0,0,1
,Total,95,35,130,1,1,2,132

Major,Ethnicity,Full-Time Male, Full-Time Female, Full-Time Total, Part-Time Male, Part-Time Female, Part-Time Total, Grand Total
7. Creative Technology and Design (B.S.),,
,1. American Indian,0,0,0,0,0,0,0
,2. Asian,0,2,2,0,0,0,2
,3. Black,0,2,2,0,0,0,2
,4. Hispanic,0,3,3,0,0,0,3
,5. Pacific Islander,0,0,0,0,0,0,0
,6. White,6,12,18,0,0,0,18
,7. Two or More,0,0,0,0,1,1,1
,8. Nonresident Alien,0,0,0,0,0,0,0
,9. Unknown,0,0,0,0,0,0,0
,Total,6,19,25,0,1,1,26

Major,Ethnicity,Full-Time Male, Full-Time Female, Full-Time Total, Part-Time Male, Part-Time Female, Part-Time Total, Grand Total
8. Applied Mathematics (B.S.),,
,1. American Indian,0,0,0,0,0,0,0
