Major,Ethnicity,Full-Time Male, Full-Time Female, Full-Time Total, Part-Time Male, Part-Time Female, Part-Time Total, Grand Total
1. Aerospace Engineering Sciences (M.S.),,
,1. American Indian,0,0,0,0,0,0,0
,2. Asian,9,6,15,5,4,9,24
,3. Black,0,1,1,0,0,0,1
,4. Hispanic,11,7,18,7,2,9,27
,5. Pacific Islander,0,0,0,0,0,0,0
,6. White,84,28,112,38,7,45,157
,7. Two or More,8,5,13,2,0,2,15
,8. Nonresident Alien,17,5,22,0,0,0,22
,9. Unknown,1,1,2,1,1,2,4
,Total,130,53,183,53,14,67,250

Major,Ethnicity,Full-Time Male, Full-Time Female, Full-Time Total, Part-Time Male, Part-Time Female, Part-Time Total, Grand Total
2. Chemical Engineering (M.S.),,
,1. American Indian,0,0,0,0,0,0,0
,2. Asian,0,0,0,0,0,0,0
,3. Black,0,0,0,0,0,0,0
,4. Hispanic,0,0,0,0,0,0,0
,5. Pacific Islander,0,0,0,0,0,0,0
,6. White,1,1,2,0,0,0,2
,7. Two or More,0,0,0,0,0,0,0
,8. Nonresident Alien,1,0,1,0,0,0,1
,9. Unknown,0,0,0,0,0,0,0
,Total,2,1,3,0,0,0,3

Major,Ethnicity,Full-Time Male, Full-Time Female, Full-Time Total, Part-Time Male, Part-Time Female, Part-Time Total, Grand Total
3. Computer Science (M.E.),,
,1. American Indian,0,0,0,0,0,0,0
,2. Asian,0,0,0,0,0,0,0
,3. Black,0,0,0,0,0,0,0
,4. Hispanic,0,0,0,0,0,0,0
,5. Pacific Islander,0,0,0,0,0,0,0
,6. White,0,0,0,0,0,0,0
,7. Two or More,0,0,0,0,0,0,0
,8. Nonresident Alien,0,0,0,0,0,0,0
,9. Unknown,0,0,0,0,0,0,0
,Total,0,0,0,0,0,0,0

Major,Ethnicity,Full-Time Male, Full-Time Female, Full-Time Total, Part-Time Male, Part-Time Female, Part-Time Total, Grand Total
4. Computer Science (M.S.),,
,1. American Indian,0,0,0,0,0,0,0
,2. Asian,7,4,11,4,0,4,15
,3. Black,1,0,1,0,0,0,1
,4. Hispanic,6,0,6,0,0,0,6
,5. Pacific Islander,0,0,0,0,0,0,0
,6. White,37,2,39,13,1,14,53
,7. Two or More,4,1,5,1,0,1,6
,8. Nonresident Alien,147,51,198,4,0,4,202
,9. Unknown,2,1,3,0,0,0,3
,Total,204,59,263,22,1,23,286

Major,Ethnicity,Full-Time Male, Full-Time Female, Full-Time Total, Part-Time Male, Part-Time Female, Part-Time Total, Grand Total
5. Network Engineering (M.S.),,
,1. American Indian,0,0,0,0,0,0,0
,2. Asian,0,0,0,0,0,0,0
,3. Black,1,0,1,0,0,0,1
,4. Hispanic,0,0,0,0,0,0,0
,5. Pacific Islander,0,0,0,0,0,0,0
,6. White,4,0,4,0,0,0,4
,7. Two or More,0,0,0,0,0,0,0
,8. Nonresident Alien,13,3,16,1,0,1,17
,9. Unknown,0,0,0,1,0,1,1
,Total,18,3,21,2,0,2,23

Major,Ethnicity,Full-Time Male, Full-Time Female, Full-Time Total, Part-Time Male, Part-Time Female, Part-Time Total, Grand Total
6. Technology, Cybersecurity and Policy (M.S.),,
,1. American Indian,0,0,0,0,0,0,0
,2. Asian,1,0,1,1,0,1,2
,3. Black,0,0,0,0,0,0,0
,4. Hispanic,1,1,2,0,0,0,2
,5. Pacific Islander,0,0,0,0,0,0,0
,6. White,5,3,8,1,1,2,10
,7. Two or More,0,1,1,0,0,0,1
,8. Nonresident Alien,9,2,11,2,1,3,14
,9. Unknown,0,0,0,0,0,0,0
,Total,16,7,23,4,2,6,29

Major,Ethnicity,Full-Time Male, Full-Time Female, Full-Time Total, Part-Time Male, Part-Time Female, Part-Time Total, Grand Total
8. Electrical Engineering (M.E.),,
,1. American Indian,0,0,0,0,0,0,0
,2. Asian,1,1,2,0,0,0,2
,3. Black,0,0,0,0,0,0,0
,4. Hispanic,2,0,2,2,1,3,5
,5. Pacific Islander,0,0,0,0,0,0,0
,6. White,6,1,7,6,2,8,15
,7. Two or More,1,0,1,0,0,0,1
,8. Nonresident Alien,11,2,13,2,0,2,15
,9. Unknown,0,0,0,0,0,0,0
,Total,21,4,25,10,3,13,38

Major,Ethnicity,Full-Time Male, Full-Time Female, Full-Time Total, Part-Time Male, Part-Time Female, Part-Time Total, Grand Total
9. Mechanical Engineering (M.S.),,
,1. American Indian,0,0,0,0,0,0,0
,2. Asian,3,6,9,0,0,0,9
,3. Black,0,0,0,0,0,0,0
,4. Hispanic,9,2,11,1,1,2,13
,5. Pacific Islander,0,0,0,0,0,0,0
,6. White,51,17,68,5,4,9,77
,7. Two or More,3,0,3,1,0,1,4
,8. Nonresident Alien,56,6,62,1,1,2,64
,9. Unknown,0,0,0,0,0,0,0
,Total,122,31,153,8,6,14,167

Major,Ethnicity,Full-Time Male, Full-Time Female, Full-Time Total, Part-Time Male, Part-Time Female, Part-Time Total, Grand Total
10. Creative Technology and Design (M.S.),,
,1. American Indian,0,0,0,0,0,0,0
,2. Asian,1,3,4,0,1,1,5
,3. Black,0,1,1,0,0,0,1
,4. Hispanic,2,2,4,0,0,0,4
,5. Pacific Islander,0,0,0,0,0,0,0
,6. White,12,8,20,3,2,5,25
,7. Two or More,2,1,3,0,0,0,3
,8. Nonresident Alien,11,19,30,0,0,0,30
,9. Unknown,0,1,1,0,0,0,1
,Total,28,35,63,3,3,6,69

Major,Ethnicity,Full-Time Male, Full-Time Female, Full-Time Total, Part-Time Male, Part-Time Female, Part-Time Total, Grand Total
11. Biomedical Engineering (M.S.),,
,1. American Indian,0,0,0,0,0,0,0
,2. Asian,0,2,2,0,0,0,2
,3. Black,0,0,0,0,0,0,0
,4. Hispanic,0,0,0,0,1,1,1
,5. Pacific Islander,0,0,0,0,0,0,0
,6. White,5,4,9,1,0,1,10
,7. Two or More,0,0,0,0,0,0,0
,8. Nonresident Alien,0,1,1,0,0,0,1
,9. Unknown,0,1,1,0,0,0,1
,Total,5,8,13,1,1,2,15

Major,Ethnicity,Full-Time Male, Full-Time Female, Full-Time Total, Part-Time Male, Part-Time Female, Part-Time Total, Grand Total
12. Engineering Management (M.E.),,
,1. American Indian,0,0,0,0,0,0,0
,2. Asian,2,0,2,1,1,2,4
,3. Black,1,0,1,1,0,1,2
,4. Hispanic,1,1,2,5,3,8,10
,5. Pacific Islander,0,0,0,0,0,0,0
,6. White,30,12,42,34,10,44,86
,7. Two or More,1,1,2,0,1,1,3
,8. Nonresident Alien,10,7,17,1,0,1,18
,9. Unknown,0,0,0,0,0,0,0
,Total,45,21,66,42,15,57,123

Major,Ethnicity,Full-Time Male, Full-Time Female, Full-Time Total, Part-Time Male, Part-Time Female, Part-Time Total, Grand Total
13. Architectural Engineering (M.S.),,
,1. American Indian,0,0,0,0,0,0,0
,2. Asian,0,0,0,0,0,0,0
,3. Black,0,0,0,0,0,0,0
,4. Hispanic,1,0,1,0,0,0,1
,5. Pacific Islander,0,0,0,0,0,0,0
,6. White,0,0,0,1,0,1,1
,7. Two or More,1,0,1,0,0,0,1
,8. Nonresident Alien,5,2,7,0,0,0,7
