Major,Ethnicity, Male, Female, Blank, Grand Total
1. Aerospace Engineering Sciences (M.S.),,
,1. American Indian,0,1,0,1
,2. Asian,12,5,0,17
,3. Black,0,0,0,0
,4. Hispanic,14,3,0,17
,5. Pacific Islander,0,0,0,0
,6. White,82,24,0,106
,7. Two or More,3,2,0,5
,8. Nonresident Alien,7,1,0,8
,9. Unknown,2,1,0,3
,Total,120,37,0,157

Major,Ethnicity, Male, Female, Blank, Grand Total
2. Chemical Engineering (M.S.),,
,1. American Indian,0,0,0,0
,2. Asian,1,0,0,1
,3. Black,1,0,0,1
,4. Hispanic,1,0,0,1
,5. Pacific Islander,0,0,0,0
,6. White,8,3,0,11
,7. Two or More,1,0,0,1
,8. Nonresident Alien,4,1,0,5
,9. Unknown,0,0,0,0
,Total,16,4,0,20

Major,Ethnicity, Male, Female, Blank, Grand Total
3. Computer Science (M.E.),,
,1. American Indian,0,0,0,0
,2. Asian,0,0,0,0
,3. Black,0,0,0,0
,4. Hispanic,0,0,0,0
,5. Pacific Islander,0,0,0,0
,6. White,0,0,0,0
,7. Two or More,0,0,0,0
,8. Nonresident Alien,0,0,0,0
,9. Unknown,0,0,0,0
,Total,0,0,0,0

Major,Ethnicity, Male, Female, Blank, Grand Total
4. Computer Science (M.S.),,
,1. American Indian,0,0,0,0
,2. Asian,4,5,0,9
,3. Black,0,0,0,0
,4. Hispanic,6,1,0,7
,5. Pacific Islander,0,0,0,0
,6. White,27,9,0,36
,7. Two or More,1,0,0,1
,8. Nonresident Alien,67,41,0,108
,9. Unknown,1,0,0,1
,Total,106,56,0,162

Major,Ethnicity, Male, Female, Blank, Grand Total
5. Network Engineering (M.S.),,
,1. American Indian,0,0,0,0
,2. Asian,0,0,0,0
,3. Black,0,0,0,0
,4. Hispanic,0,0,0,0
,5. Pacific Islander,0,0,0,0
,6. White,0,0,0,0
,7. Two or More,0,0,0,0
,8. Nonresident Alien,10,7,0,17
,9. Unknown,0,0,0,0
,Total,10,7,0,17

Major,Ethnicity, Male, Female, Blank, Grand Total
8. Electrical Engineering (M.E.),,
,1. American Indian,0,0,0,0
,2. Asian,1,0,0,1
,3. Black,0,0,0,0
,4. Hispanic,1,0,0,1
,5. Pacific Islander,0,0,0,0
,6. White,3,0,0,3
,7. Two or More,0,0,0,0
,8. Nonresident Alien,4,2,0,6
,9. Unknown,0,0,0,0
,Total,9,2,0,11

Major,Ethnicity, Male, Female, Blank, Grand Total
9. Mechanical Engineering (M.S.),,
,1. American Indian,0,1,0,1
,2. Asian,6,3,0,9
,3. Black,2,0,0,2
,4. Hispanic,11,2,0,13
,5. Pacific Islander,0,0,0,0
,6. White,48,11,0,59
,7. Two or More,3,4,0,7
,8. Nonresident Alien,17,3,0,20
,9. Unknown,0,0,0,0
,Total,87,24,0,111

Major,Ethnicity, Male, Female, Blank, Grand Total
10. Creative Technology and Design (M.S.),,
,1. American Indian,0,0,0,0
,2. Asian,1,2,0,3
,3. Black,1,0,0,1
,4. Hispanic,0,2,0,2
,5. Pacific Islander,0,0,0,0
,6. White,7,11,1,19
,7. Two or More,3,2,0,5
,8. Nonresident Alien,4,6,0,10
,9. Unknown,1,0,0,1
,Total,17,23,1,41

Major,Ethnicity, Male, Female, Blank, Grand Total
11. Biomedical Engineering (M.S.),,
,1. American Indian,0,0,0,0
,2. Asian,0,1,0,1
,3. Black,0,0,0,0
,4. Hispanic,0,0,0,0
,5. Pacific Islander,0,0,0,0
,6. White,4,3,0,7
,7. Two or More,0,1,0,1
,8. Nonresident Alien,2,0,0,2
,9. Unknown,0,0,0,0
,Total,6,5,0,11

Major,Ethnicity, Male, Female, Blank, Grand Total
12. Engineering Management (M.E.),,
,1. American Indian,0,1,0,1
,2. Asian,3,0,0,3
,3. Black,1,1,0,2
,4. Hispanic,7,2,0,9
,5. Pacific Islander,0,0,0,0
,6. White,32,12,0,44
,7. Two or More,2,1,0,3
,8. Nonresident Alien,4,1,0,5
,9. Unknown,0,1,0,1
,Total,49,19,0,68

Major,Ethnicity, Male, Female, Blank, Grand Total
13. Architectural Engineering (M.S.),,
,1. American Indian,0,0,0,0
,2. Asian,0,1,0,1
,3. Black,0,0,0,0
,4. Hispanic,3,0,0,3
,5. Pacific Islander,0,0,0,0
,6. White,7,3,0,10
,7. Two or More,0,0,0,0
,8. Nonresident Alien,2,3,0,5
,9. Unknown,0,0,0,0
,Total,12,7,0,19

Major,Ethnicity, Male, Female, Blank, Grand Total
14. Civil Engineering (M.S.),,
,1. American Indian,0,0,0,0
,2. Asian,0,0,0,0
,3. Black,1,0,0,1
,4. Hispanic,1,3,0,4
,5. Pacific Islander,0,0,0,0
,6. White,10,14,0,24
,7. Two or More,0,0,0,0
,8. Nonresident Alien,5,6,0,11
,9. Unknown,0,1,0,1
,Total,17,24,0,41

Major,Ethnicity, Male, Female, Blank, Grand Total
15. Enivornment Engineering (M.S.),,
,1. American Indian,0,1,0,1
,2. Asian,1,1,0,2
,3. Black,0,0,0,0
,4. Hispanic,4,0,0,4
,5. Pacific Islander,0,0,0,0
,6. White,4,13,0,17
,7. Two or More,2,1,0,3
,8. Nonresident Alien,1,1,0,2
,9. Unknown,0,0,0,0
,Total,12,17,0,29

Major,Ethnicity, Male, Female, Blank, Grand Total
16. Electrical Engineering (M.S.),,
,1. American Indian,0,0,0,0
,2. Asian,5,0,0,5
,3. Black,0,0,0,0
,4. Hispanic,10,1,0,11
,5. Pacific Islander,0,0,0,0
,6. White,37,8,1,46
,7. Two or More,1,2,0,3
,8. Nonresident Alien,87,20,0,107
,9. Unknown,3,0,0,3
,Total,143,31,1,175

Major,Ethnicity, Male, Female, Blank, Grand Total
17. Material Science and Engineering (M.S.),,
,1. American Indian,0,0,0,0
,2. Asian,0,0,0,0
,3. Black,0,0,0,0
,4. Hispanic,0,1,0,1
,5. Pacific Islander,0,0,0,0
,6. White,7,3,0,10
,7. Two or More,0,2,0,2
,8. Nonresident Alien,4,0,0,4
,9. Unknown,1,0,0,1
,Total,12,6,0,18

