Major,Ethnicity,Full-Time Male, Full-Time Female, Full-Time Total, Part-Time Male, Part-Time Female, Part-Time Total, Grand Total
1. Aerospace Engineering Sciences (B.S.),,
,1. American Indian,0,0,0,0,0,0,0
,2. Asian,13,2,15,1,0,1,16
,3. Black,2,2,4,1,0,1,5
,4. Hispanic,19,8,27,0,0,0,27
,5. Pacific Islander,0,0,0,0,0,0,0
,6. White,133,30,163,3,1,4,167
,7. Two or More,14,3,17,0,0,0,17
,8. Nonresident Alien,12,2,14,0,0,0,14
,9. Unknown,2,1,3,0,0,0,3
,Total,195,48,243,5,1,6,249

Major,Ethnicity,Full-Time Male, Full-Time Female, Full-Time Total, Part-Time Male, Part-Time Female, Part-Time Total, Grand Total
2. Chemical and Biological Engineering (B.S.),,
,1. American Indian,0,0,0,0,0,0,0
,2. Asian,1,4,5,0,0,0,5
,3. Black,0,0,0,0,0,0,0
,4. Hispanic,4,2,6,0,0,0,6
,5. Pacific Islander,0,0,0,0,0,0,0
,6. White,7,14,21,0,0,0,21
,7. Two or More,2,0,2,0,0,0,2
,8. Nonresident Alien,0,0,0,0,0,0,0
,9. Unknown,0,0,0,0,0,0,0
,Total,14,20,34,0,0,0,34

Major,Ethnicity,Full-Time Male, Full-Time Female, Full-Time Total, Part-Time Male, Part-Time Female, Part-Time Total, Grand Total
3. Chemical Engineering (B.S.),,
,1. American Indian,0,0,0,0,0,0,0
,2. Asian,3,1,4,0,0,0,4
,3. Black,0,0,0,0,0,0,0
,4. Hispanic,2,3,5,0,0,0,5
,5. Pacific Islander,0,0,0,0,0,0,0
,6. White,14,7,21,1,0,1,22
,7. Two or More,3,1,4,0,0,0,4
,8. Nonresident Alien,4,0,4,0,0,0,4
,9. Unknown,0,0,0,0,0,0,0
,Total,26,12,38,1,0,1,39

Major,Ethnicity,Full-Time Male, Full-Time Female, Full-Time Total, Part-Time Male, Part-Time Female, Part-Time Total, Grand Total
4. Applied Computer Science Post Bachelors (B.S.),,
,1. American Indian,0,0,0,0,0,0,0
,2. Asian,0,0,0,0,0,0,0
,3. Black,0,0,0,0,0,0,0
,4. Hispanic,0,0,0,0,0,0,0
,5. Pacific Islander,0,0,0,0,0,0,0
,6. White,0,0,0,0,0,0,0
,7. Two or More,0,0,0,0,0,0,0
,8. Nonresident Alien,0,0,0,0,0,0,0
,9. Unknown,0,0,0,0,0,0,0
,Total,0,0,0,0,0,0,0

Major,Ethnicity,Full-Time Male, Full-Time Female, Full-Time Total, Part-Time Male, Part-Time Female, Part-Time Total, Grand Total
5. Computer Science (B.S.),,
,1. American Indian,0,0,0,0,0,0,0
,2. Asian,29,10,39,1,0,1,40
,3. Black,4,0,4,0,0,0,4
,4. Hispanic,19,4,23,0,0,0,23
,5. Pacific Islander,0,0,0,0,0,0,0
,6. White,123,15,138,4,1,5,143
,7. Two or More,10,4,14,0,0,0,14
,8. Nonresident Alien,13,2,15,0,1,1,16
,9. Unknown,2,0,2,0,0,0,2
,Total,200,35,235,5,2,7,242

Major,Ethnicity,Full-Time Male, Full-Time Female, Full-Time Total, Part-Time Male, Part-Time Female, Part-Time Total, Grand Total
6. Mechanical Engineering (B.S.),,
,1. American Indian,0,0,0,0,0,0,0
,2. Asian,8,4,12,0,0,0,12
,3. Black,1,0,1,0,0,0,1
,4. Hispanic,25,4,29,1,0,1,30
,5. Pacific Islander,1,0,1,0,0,0,1
,6. White,153,37,190,8,1,9,199
,7. Two or More,16,2,18,1,0,1,19
,8. Nonresident Alien,8,3,11,1,0,1,12
,9. Unknown,7,1,8,0,0,0,8
,Total,219,51,270,11,1,12,282

Major,Ethnicity,Full-Time Male, Full-Time Female, Full-Time Total, Part-Time Male, Part-Time Female, Part-Time Total, Grand Total
7. Creative Technology and Design (B.S.),,
,1. American Indian,0,0,0,0,0,0,0
,2. Asian,4,6,10,0,0,0,10
,3. Black,0,0,0,0,0,0,0
,4. Hispanic,3,1,4,0,0,0,4
,5. Pacific Islander,0,0,0,0,0,0,0
,6. White,15,18,33,1,1,2,35
,7. Two or More,5,5,10,0,0,0,10
,8. Nonresident Alien,0,0,0,0,0,0,0
,9. Unknown,0,0,0,0,0,0,0
,Total,27,30,57,1,1,2,59

Major,Ethnicity,Full-Time Male, Full-Time Female, Full-Time Total, Part-Time Male, Part-Time Female, Part-Time Total, Grand Total
8. Applied Mathematics (B.S.),,
,1. American Indian,0,0,0,0,0,0,0
